G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
30,30,33.3,6.8,14.7,0.46,1.6,4.5,0.346,5.2,10.2,0.511,0.514,2.5,3.6,0.692,2.1,5.1,7.2,1.3,1,1.3,2,2.8,17.6,Airious Bailey
133,61,22.1,3.2,7.1,0.456,1.1,2.8,0.373,2.2,4.2,0.512,0.531,1.7,1.8,0.924,0.5,1.6,2.1,1,0.7,0.1,1.1,1.6,9.2,Tamar Bates
149,37,24.9,3.1,6.8,0.45,2.1,4.9,0.434,0.9,1.9,0.491,0.606,0.5,0.6,0.802,0.3,2.9,3.1,1.1,0.4,0.2,0.7,1,8.8,Koby Brea
168,163,27.2,6.5,12.1,0.539,0.4,1.2,0.302,6.1,10.8,0.566,0.555,2.7,4.5,0.603,3.1,6.4,9.5,1.7,0.8,2.5,1.8,2.4,16.1,Johni Broome
37,5,19.3,2.2,4.8,0.46,1.1,2.8,0.371,1.1,1.9,0.592,0.571,1.1,1.6,0.695,0.9,3.2,4.1,1,0.9,1,1,2.3,6.5,Carter Bryant
68,30,20.9,2.5,6.5,0.385,1.1,3.8,0.304,1.4,2.8,0.497,0.473,1.5,1.8,0.829,0.6,2.7,3.2,1.8,1.4,0.8,1.2,1.6,7.7,Miles Byrd
154,122,25.6,3.7,7.9,0.469,1,2.7,0.364,2.7,5.1,0.525,0.532,1.7,2.4,0.724,1,4.9,5.9,2.4,0.9,0.6,1.7,2.1,10.1,Nique Clifford
73,36,22.7,3.2,6.6,0.479,0.4,1.3,0.313,2.8,5.3,0.521,0.51,2.4,3.8,0.631,2.4,4.6,7,1.7,0.6,1.3,1.4,2.4,9.2,Alex Condon
72,40,26.5,4.3,7.3,0.595,1.1,2.7,0.388,3.3,4.6,0.72,0.668,2.1,2.5,0.832,1.6,4.6,6.2,1.9,0.9,0.8,1.6,2.1,11.8,Cedric Coward
33,33,27.5,3.8,9.3,0.412,1.3,4.7,0.273,2.5,4.6,0.553,0.48,1.7,2.5,0.695,0.3,3.6,3.9,5.5,1.2,0.4,2.9,1.2,10.6,Egor Demin
162,141,27.5,5,10.5,0.471,1.4,3.5,0.387,3.6,7,0.513,0.536,3,3.7,0.813,2.1,3.5,5.6,1.4,0.7,0.4,1.5,1.9,14.3,Eric Dixon
33,33,32.7,5,11.5,0.436,1.6,4.6,0.34,3.5,6.9,0.5,0.504,3.4,4.3,0.782,2,3.6,5.6,3.2,2.1,0.6,1.9,2.5,15,Vj Edgecombe
34,31,30.2,5.3,12.2,0.434,1.1,3.9,0.284,4.2,8.3,0.505,0.48,5.4,6.3,0.851,0.7,3.4,4.1,4.1,1.6,0.1,3.4,1.9,17.1,Jeremiah Fears
37,37,30.7,6.5,13.4,0.481,1.4,3.6,0.385,5.1,9.8,0.517,0.533,4.8,5.8,0.84,1.3,6.2,7.5,4.2,1.4,1.4,2.1,1.9,19.2,Cooper Flagg
21,18,31.8,4.6,12,0.379,1.7,5,0.34,2.9,7,0.408,0.451,2.6,3.1,0.833,0.5,2.8,3.2,5.1,1.5,0,1.4,1.8,13.5,Boogie Fland
101,88,26.4,3.9,7.6,0.51,1.2,3.3,0.349,2.7,4.3,0.635,0.586,1.6,2.4,0.68,2.2,4.9,7.1,0.9,1,1.3,1.2,2.5,10.6,Rasheer Fleming
154,143,21.6,4.5,7.2,0.616,0.1,0.2,0.333,4.4,7,0.625,0.621,2.7,4,0.668,2.2,3.8,6,0.6,0.4,1.3,1.5,2.2,11.7,Vladislav Goldin
72,66,33.1,6.3,13,0.484,0.8,2.6,0.332,5.4,10.4,0.521,0.517,6.5,8.2,0.791,1,4.3,5.3,3.5,1.8,0.1,2.8,1.9,19.9,Pj Haggerty
29,28,32.6,6.7,13.8,0.484,1.7,5.2,0.333,5,8.7,0.574,0.546,4.3,5.8,0.75,0.8,3.8,4.6,4,1.4,0.6,2.4,1.9,19.4,Dylan Harper
33,33,31.8,4.5,10.3,0.44,1.6,5.2,0.318,2.9,5.1,0.562,0.519,4.3,5.1,0.845,1.4,4.3,5.7,4.7,0.9,0.3,3.7,2.7,15,Kasparas Jakucionis
153,139,32,3.1,6.5,0.481,0.8,2.3,0.358,2.3,4.2,0.548,0.544,2.2,3.1,0.715,0.7,3.8,4.5,3,1.4,0.5,1.4,2.4,9.3,Sion James
55,26,18.2,2.3,5.1,0.45,0,0,0,2.3,5.1,0.452,0.45,1.1,1.7,0.63,1.6,2.4,4,0.5,0.6,0.9,1.3,2.3,5.7,Tre Johnson
137,113,28.1,5.7,12,0.475,2.3,6.3,0.366,3.4,5.8,0.593,0.57,1.2,1.8,0.671,0.4,2.7,3.1,2.9,1.2,0.1,1.3,1.8,14.9,Kam Jones
169,138,29.3,5.8,8.8,0.658,0.3,0.9,0.311,5.6,8,0.696,0.674,2.5,3.6,0.709,2.6,4.2,6.8,1.1,0.4,2.4,1.3,1.6,14.5,Ryan Kalkbrenner
36,24,24,2.7,5.8,0.462,1,2.8,0.35,1.7,3,0.565,0.546,2,2.5,0.802,0.7,2.6,3.3,1,0.6,0.5,1.1,1.9,8.3,Karter Knox
39,39,30.5,4.6,9.7,0.479,2.2,5.3,0.406,2.5,4.4,0.567,0.59,3,3.3,0.914,1,3,4,2.7,1,0.2,1.4,2.1,14.4,Kon Knueppel
