PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV
A.C. Green,82.0,17.2,4.5,3.8,0.5,0.4,0.1,0.444,0.0,0.712,0.5
A.J. Guyton,39.0,16.2,5.7,1.05,1.85,0.25,0.2,0.3835,0.3825,0.824,0.75
AJ Hammons,22.0,7.4,2.2,1.6,0.2,0.0,0.6,0.405,0.5,0.45,0.5
AJ Price,47.0,14.040000000000001,5.4,1.3599999999999999,2.04,0.45999999999999996,0.04,0.3816,0.3076,0.6114,0.86
Aaron Brooks,65.0,22.619999999999997,10.76,1.7,3.22,0.58,0.14,0.4154,0.3528,0.8400000000000001,1.6600000000000001
Aaron Gordon,68.2,27.26,12.14,6.1,2.04,0.74,0.64,0.4514,0.308,0.7074,1.32
Aaron Gray,47.8,12.4,3.62,3.9799999999999995,0.64,0.32,0.3,0.5168,0.0,0.5776,0.8
Aaron Harrison,21.0,4.4,0.9,0.7,0.1,0.3,0.0,0.263,0.3,0.417,0.2
Aaron Holiday,58.0,18.7,7.7,1.85,2.55,0.6000000000000001,0.25,0.4075,0.36650000000000005,0.8354999999999999,1.05
Aaron McKie,69.4,27.32,8.84,3.6799999999999997,3.2600000000000002,1.2,0.21999999999999997,0.44800000000000006,0.3598,0.7546,1.58
Aaron Williams,71.8,18.64,6.319999999999999,4.18,0.8800000000000001,0.4,0.76,0.4798,0.0666,0.766,1.04
Abdel Nader,54.666666666666664,12.700000000000001,4.433333333333334,1.7333333333333334,0.5,0.3333333333333333,0.26666666666666666,0.40900000000000003,0.3496666666666666,0.7043333333333334,0.6333333333333333
Acie Law,47.0,12.225,3.9000000000000004,1.0,1.55,0.425,0.025,0.41925,0.249,0.7797499999999999,0.75
Adam Keefe,67.0,12.6,2.5,3.1,0.5,0.4,0.3,0.403,0.333,0.619,0.6
Adam Morrison,53.666666666666664,17.099999999999998,6.066666666666666,1.8,1.1666666666666667,0.23333333333333336,0.10000000000000002,0.37033333333333335,0.3026666666666667,0.6913333333333332,0.8666666666666667
Admiral Schofield,33.0,11.2,3.0,1.4,0.5,0.2,0.1,0.38,0.311,0.667,0.2
