PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV
A.J. Lawson,34.0,13.05,6.15,2.25,0.85,0.35,0.15000000000000002,0.4335,0.2935,0.6675,0.44999999999999996
AJ Green,54.666666666666664,14.533333333333333,5.433333333333334,1.5999999999999999,0.8666666666666667,0.3,0.06666666666666667,0.42533333333333334,0.418,0.9033333333333333,0.3333333333333333
AJ Griffin,46.0,14.0,5.65,1.5,0.65,0.35,0.15000000000000002,0.3775,0.323,0.9470000000000001,0.5
AJ Johnson,29.0,22.0,7.6,2.0,2.6,0.4,0.1,0.385,0.267,0.865,1.2
Aaron Gordon,63.4,29.9,14.459999999999999,5.9,3.08,0.6799999999999999,0.6,0.5268,0.34859999999999997,0.6940000000000001,1.5799999999999998
Aaron Holiday,66.4,15.3,5.9,1.46,1.7600000000000002,0.5599999999999999,0.16,0.4276,0.3882,0.8562,0.8
Aaron Nesmith,57.6,20.6,8.559999999999999,3.22,0.9800000000000001,0.64,0.38,0.45280000000000004,0.3712,0.8252,0.76
Aaron Wiggins,68.5,20.325,8.5,3.225,1.35,0.675,0.2,0.5062500000000001,0.393,0.7949999999999999,0.875
Abdel Nader,24.0,14.8,6.7,2.6,0.8,0.4,0.4,0.491,0.419,0.757,0.8
Adam Flagler,37.0,5.5,1.8,0.7,0.3,0.2,0.1,0.26,0.194,0.5,0.1
Adem Bona,58.0,15.6,5.8,4.2,0.5,0.4,1.2,0.703,0.0,0.67,1.1
Admiral Schofield,32.666666666666664,9.4,3.033333333333333,1.5666666666666664,0.6,0.10000000000000002,0.06666666666666667,0.4183333333333333,0.3426666666666667,0.5710000000000001,0.39999999999999997
Ajay Mitchell,36.0,16.6,6.5,1.9,1.8,0.7,0.1,0.495,0.383,0.829,0.8
Al Horford,57.0,28.380000000000003,10.36,6.640000000000001,2.9,0.6599999999999999,1.02,0.4654,0.38639999999999997,0.8272,0.8
Al-Farouq Aminu,23.0,18.9,4.4,4.8,1.3,0.8,0.4,0.384,0.216,0.818,1.2
Alec Burks,59.2,22.44,10.98,3.4799999999999995,1.9600000000000002,0.6599999999999999,0.22000000000000003,0.40800000000000003,0.40679999999999994,0.8272,0.9
Aleksej Pokusevski,42.0,19.875,7.2749999999999995,4.45,1.875,0.525,0.825,0.397,0.31525000000000003,0.69975,1.425
Alex Caruso,58.2,24.1,7.32,3.22,3.1399999999999997,1.52,0.6,0.44060000000000005,0.3718,0.7664,1.1800000000000002
Alex Ducas,21.0,6.0,1.7,1.2,0.2,0.2,0.0,0.4,0.476,1.0,0.2
Alex Len,44.6,11.0,3.6799999999999997,3.0599999999999996,0.86,0.24,0.64,0.5614,0.1656,0.6054,0.72
Alex Sarr,67.0,27.1,13.0,6.5,2.4,0.7,1.5,0.394,0.308,0.679,1.7
Alfonzo McKinnie,39.0,6.6,3.1,1.4,0.2,0.2,0.0,0.516,0.41,0.556,0.1
Alize Johnson,23.0,7.3,1.8,2.7,0.4,0.2,0.0,0.436,0.0,0.583,0.5
Alperen Sengun,71.5,28.4,16.15,8.525,4.1,1.0,0.825,0.515,0.27775,0.70275,2.45
Amen Thompson,65.5,27.349999999999998,11.8,7.3999999999999995,3.2,1.35,0.95,0.5465,0.20650000000000002,0.684,1.75
Amir Coffey,61.0,17.880000000000003,6.38,1.86,1.12,0.41999999999999993,0.12000000000000002,0.4438,0.3706,0.8204,0.5
Andre Drummond,61.0,19.06,8.9,8.940000000000001,1.1400000000000001,1.02,0.7,0.545,0.03,0.5748,1.56
Andre Iguodala,47.0,20.35,4.2,3.35,3.0,0.9,0.6499999999999999,0.3815,0.28,0.704,1.0
Andre Jackson Jr.,62.0,12.3,2.8,2.35,1.05,0.4,0.15000000000000002,0.4885,0.3825,0.6134999999999999,0.7
Andrew Nembhard,69.33333333333333,27.166666666666668,9.566666666666666,2.6999999999999997,4.533333333333333,1.0,0.16666666666666666,0.4656666666666667,0.33266666666666667,0.7959999999999999,1.6333333333333335
Andrew Wiggins,62.4,31.02,16.82,4.68,2.2399999999999998,0.9400000000000001,0.78,0.46340000000000003,0.3802,0.6946,1.5
Anfernee Simons,59.8,29.78,17.62,2.74,3.94,0.58,0.12000000000000002,0.433,0.3912,0.8814,1.9
Anthony Black,73.5,20.549999999999997,7.0,2.45,2.2,0.8,0.44999999999999996,0.4445,0.356,0.687,1.3
Anthony Davis,51.8,34.06,24.06,10.9,3.16,1.2,2.08,0.5316,0.2512,0.7652,2.14
Anthony Edwards,76.2,34.739999999999995,23.740000000000002,5.279999999999999,4.14,1.34,0.58,0.445,0.3614,0.7982,2.88
Anthony Gill,46.0,9.32,3.3599999999999994,1.7600000000000002,0.52,0.22000000000000003,0.18,0.513,0.30700000000000005,0.7636000000000001,0.33999999999999997
Anthony Lamb,43.0,18.3,6.1,3.2,1.25,0.4,0.25,0.4305,0.34550000000000003,0.812,0.8500000000000001
Antonio Reeves,44.0,15.0,6.9,1.4,0.9,0.5,0.1,0.456,0.395,0.8,0.7
Ariel Hukporti,25.0,8.7,1.9,2.0,0.4,0.0,0.6,0.677,0.0,0.462,0.8
Armoni Brooks,37.0,20.8,8.25,2.65,1.3,0.55,0.25,0.37250000000000005,0.3395,0.72,0.8
Aron Baynes,53.0,18.5,6.1,5.2,0.9,0.3,0.4,0.441,0.262,0.707,0.9
Ausar Thompson,61.0,23.8,9.45,5.75,2.0999999999999996,1.4,0.8,0.509,0.20500000000000002,0.619,1.35
Austin Reaves,70.0,29.75,14.1,3.75,4.125,0.7250000000000001,0.3,0.48350000000000004,0.36475,0.85825,1.6749999999999998
Austin Rivers,51.666666666666664,21.7,6.266666666666667,1.8666666666666665,1.6666666666666667,0.7000000000000001,0.10000000000000002,0.42533333333333334,0.35366666666666663,0.7353333333333333,0.7333333333333334
Avery Bradley,44.5,22.5,6.4,2.1500000000000004,1.25,0.8500000000000001,0.1,0.39849999999999997,0.35850000000000004,0.8445,0.8
Ayo Dosunmu,69.75,28.25,10.475,2.9749999999999996,3.4,0.8500000000000001,0.4,0.5015000000000001,0.35475,0.76975,1.375
Bam Adebayo,68.8,33.8,19.119999999999997,9.66,4.04,1.24,0.8400000000000001,0.5346,0.20939999999999998,0.7756000000000001,2.42
Baylor Scheierman,31.0,12.4,3.6,2.1,1.1,0.5,0.1,0.355,0.317,0.75,0.4
Ben McLemore,58.5,18.6,8.95,1.75,0.8,0.5,0.2,0.3855,0.354,0.7769999999999999,0.8500000000000001
Ben Sheppard,60.0,16.9,4.85,2.2,1.1,0.6,0.1,0.40549999999999997,0.328,0.887,0.3
Ben Simmons,50.333333333333336,26.900000000000002,8.733333333333334,6.066666666666666,6.2,1.2,0.5666666666666667,0.5476666666666666,0.09999999999999999,0.593,2.433333333333333
Bennedict Mathurin,69.66666666666667,28.166666666666668,15.766666666666666,4.466666666666666,1.8,0.6333333333333333,0.2333333333333333,0.446,0.3456666666666666,0.8266666666666667,1.8
Bilal Coulibaly,61.0,30.1,10.350000000000001,4.55,2.55,1.1,0.75,0.428,0.3135,0.724,1.75
Bismack Biyombo,46.2,17.48,4.92,5.0,1.02,0.36,0.9800000000000001,0.5821999999999999,0.0,0.44420000000000004,0.9400000000000001
Blake Griffin,47.666666666666664,18.933333333333334,7.166666666666667,4.266666666666667,2.1333333333333333,0.5,0.26666666666666666,0.4443333333333333,0.317,0.7080000000000001,0.7999999999999999
Blake Wesley,52.0,14.766666666666667,4.366666666666667,1.6000000000000003,2.4333333333333336,0.6,0.10000000000000002,0.41,0.2986666666666667,0.627,1.2
Boban Marjanovic,29.0,6.433333333333333,4.1000000000000005,2.5,0.2333333333333333,0.10000000000000002,0.13333333333333333,0.597,0.125,0.7159999999999999,0.5333333333333333
Bobby Portis,67.8,24.98,13.559999999999999,8.32,1.44,0.6799999999999999,0.44000000000000006,0.4944,0.40119999999999995,0.7772,1.1199999999999999
Bogdan Bogdanović,58.8,28.46,14.64,3.4,3.0,1.0,0.26,0.4412,0.38980000000000004,0.8766,1.26
Bojan Bogdanovic,64.25,29.924999999999997,17.975,3.675,1.975,0.55,0.07500000000000001,0.459,0.3965,0.8515,1.9
Bol Bol,45.25,12.475,5.824999999999999,3.175,0.55,0.25,0.7,0.5295000000000001,0.35175,0.746,0.75
Bones Hyland,46.5,15.725,8.75,1.9,2.425,0.7,0.225,0.3965,0.36325,0.84175,1.225
Brad Wanamaker,42.0,15.600000000000001,4.55,1.7,2.65,0.5,0.25,0.3745,0.2115,0.9055,1.1
Bradley Beal,51.2,34.14,22.580000000000002,4.2,5.0200000000000005,1.02,0.5,0.4904,0.366,0.836,2.7600000000000002
Branden Carlson,32.0,7.7,3.8,1.7,0.4,0.2,0.7,0.443,0.333,0.778,0.2
Brandin Podziemski,69.0,26.700000000000003,10.45,5.449999999999999,3.55,0.9500000000000001,0.2,0.4495,0.3785,0.6955,1.2
Brandon Boston,36.75,15.15,7.275,2.1,1.125,0.625,0.2,0.41075,0.33475,0.76675,0.775
Brandon Clarke,60.75,20.475,9.75,5.375,1.3,0.75,0.825,0.6095,0.17825000000000002,0.691,0.675
Brandon Goodwin,41.5,13.55,4.85,1.7,2.25,0.55,0.0,0.39649999999999996,0.32799999999999996,0.6415,0.9
