Name,Year,Height Without Shoes,Wingspan,Standing Reach,G,PTS,TRB,AST,2P%,3P%,FT%,Pos,GP
Johnny Juzang,2021-22,77.5,82.5,100.5,85,11.6,3.6,1.2,0.479,0.352,0.853,SG,64
Eric Paschall,2019-20,78.0,83.75,103.5,137,12.3,5.1,1.5,0.562,0.331,0.765,SF,58
Scottie Barnes,2021-22,79.0,86.75,108.0,24,10.3,4.0,4.1,0.561,0.275,0.621,SF,276
Trent Forrest,2020-21,75.5,79.5,102.5,137,8.3,4.1,3.3,0.494,0.248,0.748,PG,60
David Roddy,2022-23,76.5,83.5,105.0,91,15.5,7.4,2.4,0.593,0.319,0.739,PF,141
Quentin Grimes,2021-22,76.0,80.0,101.0,96,12.5,3.9,2.2,0.464,0.366,0.701,SG,155
Corey Kispert,2021-22,78.0,79.0,102.0,137,11.6,4.0,1.4,0.585,0.408,0.824,SF,292
Ayo Dosunmu,2021-22,75.5,82.25,102.0,90,16.7,4.8,3.9,0.516,0.345,0.75,SG,238
Blake Wesley,2022-23,75.0,81.25,103.0,35,14.4,3.7,2.4,0.471,0.303,0.657,SG,119
Bol Bol,2019-20,84.75,91.0,115.5,9,21.0,9.6,1.0,0.57,0.52,0.757,C,73
Bennedict Mathurin,2022-23,76.5,81.0,104.0,63,14.8,5.3,2.0,0.521,0.383,0.789,SG,231
Julian Strawther,2022-23,77.75,81.5,104.5,94,10.9,4.6,0.9,0.586,0.384,0.745,SF,65
Austin Reaves,2021-22,76.5,78.25,101.0,122,10.8,3.8,2.6,0.487,0.347,0.844,SG,306
Jordan Poole,2019-20,75.5,78.75,99.5,75,9.4,2.2,1.4,0.519,0.37,0.831,SG,390
Malaki Branham,2022-23,76.0,82.0,102.5,32,13.7,3.6,2.0,0.53,0.416,0.833,SG,141
