G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Name,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB
115,54.0,35.2,5.3,8.8,0.602,4.1,5.9,0.696,7.7,1.6,1.1,0.3,2.5,2.3,14.7,Ac Green,,,,,,,,,
128,122.0,34.0,5.8,12.8,0.455,2.5,3.2,0.79,3.4,3.1,1.0,0.4,2.3,1.3,16.4,Aj Guyton,2.2,5.3,0.414,3.6,7.5,0.484,0.541,0.6,2.5
132,95.0,24.3,4.6,8.6,0.539,2.7,4.0,0.69,7.0,0.8,0.4,2.6,2.1,2.5,12.1,Aj Hammons,0.0,0.2,0.261,4.6,8.4,0.544,0.541,2.4,4.7
99,91.0,29.4,4.3,10.5,0.413,2.7,3.7,0.722,3.4,4.7,1.1,0.1,2.4,1.4,13.0,Aj Price,1.6,4.4,0.365,2.7,6.1,0.447,0.489,0.8,2.6
115,110.0,32.7,4.3,10.1,0.43,2.7,3.2,0.834,3.5,4.1,1.1,0.1,2.6,2.3,13.1,Aaron Brooks,1.8,4.8,0.374,2.6,5.4,0.479,0.518,0.7,2.7
38,38.0,31.2,5.0,10.1,0.495,2.0,4.7,0.422,8.0,2.0,0.9,1.0,1.4,2.4,12.4,Aaron Gordon,0.4,1.2,0.356,4.6,8.9,0.513,0.516,2.7,5.3
113,68.0,20.9,3.8,7.0,0.55,2.1,3.6,0.595,7.0,1.3,0.4,1.2,1.6,2.1,9.8,Aaron Gray,0.0,0.0,,3.8,7.0,0.55,0.55,2.5,4.5
79,78.0,29.2,4.1,9.9,0.41,2.8,3.5,0.787,2.8,1.6,1.1,0.2,1.3,1.8,12.4,Aaron Harrison,1.5,4.6,0.335,2.5,5.3,0.474,0.487,0.5,2.3
101,65.0,31.8,4.7,10.5,0.45,3.1,3.9,0.795,3.2,4.7,1.2,0.2,3.0,2.7,14.3,Aaron Holiday,1.8,4.2,0.422,2.9,6.2,0.469,0.535,0.5,2.7
92,92.0,38.0,6.1,14.5,0.421,3.8,4.8,0.79,6.4,3.3,2.1,0.3,1.9,2.1,17.9,Aaron Mckie,1.9,5.3,0.366,4.2,9.2,0.453,0.488,,
117,21.0,23.6,3.7,6.6,0.556,1.8,2.6,0.707,6.1,1.1,0.6,1.7,2.0,2.9,9.2,Aaron Williams,0.0,0.0,,3.7,6.6,0.556,0.556,,
117,82,24.3,3.7,9.5,.391,1.8,2.5,.731,4.3,1.1,0.8,0.6,2.3,2.5,10.3,Abdel Nader,1.1,3.6,.305,2.6,5.9,.443,.448,0.9,3.4
122,106,30.8,5.0,10.6,0.466,2.8,3.7,0.76,3.1,4.5,1.3,0.0,2.5,2.6,13.7,Acie Law,0.9,2.6,0.357,4.0,8.0,0.502,0.51,0.5,2.6
125,29.0,32.0,6.6,11.1,0.6,5.2,7.1,0.736,9.0,1.7,1.1,0.4,2.5,2.1,18.6,Adam Keefe,0.1,0.1,0.467,6.6,11.0,0.601,0.602,4.6,7.6
95,62,30.6,7.0,14.0,0.503,4.2,5.5,0.761,5.1,2.0,0.7,0.4,1.7,1.7,19.7,Adam Morrison,1.3,3.7,0.368,5.7,10.3,0.551,0.552,1.3,3.8
132,95,24.9,4.4,9.7,0.458,1.6,2.1,0.763,5.3,1.3,0.7,0.4,1.4,2.6,11.9,Admiral Schofield,1.4,3.6,0.387,3.0,6.1,0.501,0.53,1.3,4.1
87,30.0,36.5,8.2,15.0,0.547,4.0,8.2,0.491,12.7,1.5,0.7,5.7,3.8,2.4,20.4,Adonal Foyle,0.0,0.1,0.1,8.2,14.8,0.551,0.548,,
