PLAYER,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,EFF,Seasons,Cluster,Cluster_Label
A.C. Green,82.0,17.2,4.5,3.8,0.5,0.4,0.1,0.444,0.0,0.712,0.5,6.1,1,3,Bench
Aaron Brooks,75.0,22.516666666666666,10.583333333333334,1.8499999999999999,3.1999999999999997,0.6,0.15,0.4103333333333334,0.37833333333333335,0.8268333333333334,1.6833333333333333,8.966666666666667,6,2,Role Player
Aaron Gordon,74.5,29.724999999999998,13.075,6.675,2.725,0.775,0.625,0.45325,0.31024999999999997,0.698,1.4000000000000001,15.524999999999999,4,2,Role Player
Aaron Holiday,66.0,24.5,9.5,2.4,3.4,0.8,0.2,0.414,0.394,0.851,1.3,9.8,1,2,Role Player
Aaron McKie,77.0,29.8,9.933333333333332,3.966666666666667,3.6999999999999997,1.3666666666666665,0.16666666666666666,0.45366666666666666,0.35933333333333334,0.7869999999999999,1.8333333333333333,12.266666666666666,3,2,Role Player
Aaron Williams,79.25,21.425,7.475,4.875,1.05,0.475,0.8999999999999999,0.48475,0.08325,0.737,1.2,9.9,4,3,Bench
Abdel Nader,58.0,13.600000000000001,5.15,1.85,0.5,0.35,0.30000000000000004,0.4455,0.34750000000000003,0.7615000000000001,0.6000000000000001,5.05,2,4,Bust
Adam Morrison,78.0,29.8,11.8,2.9,2.1,0.4,0.1,0.376,0.337,0.71,1.7,7.4,1,2,Role Player
Adonal Foyle,79.6,19.1,4.220000000000001,4.88,0.45999999999999996,0.42000000000000004,1.7399999999999998,0.4894,0.0,0.542,0.8,8.6,5,3,Bench
Adrian Griffin,74.0,18.6,4.4,3.6,1.4,1.0,0.1,0.433,0.25,0.844,0.6,7.2,1,4,Bust
Al Harrington,75.6,29.75,14.419999999999998,5.86,1.72,0.9,0.26,0.442,0.3249,0.7283000000000001,1.92,13.580000000000002,10,2,Role Player
