Year,Player,Pos,Body Fat %,Hand Length,Hand Width (inches),Height Without Shoes,Height With Shoes,Standing Reach,Weight (lbs),Wingspan
2025-26,Izan Almansa,C,-%,9.25,9.5,6' 9.25'',,9' 1.50'',220.4,7' 1.75''
2025-26,Neoklis Avdalas,SF,-%,8.25,9.75,6' 7.50'',,8' 8.50'',197.8,6' 9.00''
2025-26,Airious Bailey,SF-PF,-%,8.5,9,6' 7.50'',,8' 11.00'',202.8,7' 0.50''
2025-26,Tamar Bates,SG,-%,9.75,9,6' 3.75'',,8' 7.00'',191.4,6' 10.25''
2025-26,Joan Beringer,C,-%,9.75,10,6' 11.00'',,9' 3.00'',234.8,7' 4.50''
2025-26,Koby Brea,SG,-%,8.5,9.25,6' 5.75'',,8' 5.50'',201.8,6' 5.25''
2025-26,Johni Broome,SF-PF,-%,9.25,10.25,6' 9.25'',,9' 0.50'',249.4,7' 0.25''
2025-26,Carter Bryant,SF-PF,-%,8.5,9.5,6' 6.50'',,8' 10.00'',214.8,6' 11.75''
2025-26,Miles Byrd,SG,-%,8.75,9.25,6' 4.75'',,8' 6.50'',181.8,6' 10.00''
2025-26,Walter Clayton Jr.,PG-SG,-%,8.25,9.75,6' 2.00'',,8' 1.50'',199,6' 4.00''
2025-26,Nique Clifford,PG-SG,-%,8.25,8.5,6' 5.25'',,8' 6.50'',202,6' 8.00''
2025-26,Alex Condon,SF-PF,-%,9.25,9.75,6' 11.25'',,8' 11.50'',221.8,7' 0.75''
2025-26,Cedric Coward,PG-SG,-%,9.25,10,6' 5.25'',,8' 10.00'',213,7' 2.25''
2025-26,Egor Demin,PG-SG,-%,8.25,9.25,6' 8.25'',,8' 9.50'',199.2,6' 10.25''
2025-26,Eric Dixon,PF,-%,8.75,10,6' 7.50'',,8' 8.00'',258.6,6' 11.50''
2025-26,VJ Edgecombe,PG-SG,-%,8.5,9.5,6' 4.00'',,8' 5.50'',193.2,6' 7.50''
2025-26,Noa Essengue,PF,-%,8.97,10.62,6' 10.00'',,9' 2.00'',204,7' 1.00''
2025-26,Jeremiah Fears,PG-SG,-%,8.25,9.25,6' 2.50'',,8' 2.50'',179.6,6' 5.25''
2025-26,Cooper Flagg,SF-PF,-%,8.75,9.75,6' 7.75'',,8' 10.50'',221,7' 0.00''
2025-26,Boogie Fland,PG,-%,8.5,9,6' 2.00'',,8' 2.00'',172.4,6' 6.00''
2025-26,Rasheer Fleming,SF-PF,-%,9.5,9.5,6' 8.25'',,9' 1.00'',232.4,7' 5.25''
2025-26,Vladislav Goldin,C,-%,9.5,11.75,7' 0.00'',,9' 3.00'',253.4,7' 5.25''
2025-26,Hugo González,SF,-%,10.25,9,6' 6.25'',,8' 5.50'',222.7,6' 10.75''
2025-26,PJ Haggerty,SG,-%,8.5,9.5,6' 2.25'',,8' 1.50'',189.4,6' 6.50''
2025-26,Dylan Harper,PG-SG,-%,9.25,9.25,6' 4.50'',,8' 6.00'',213.2,6' 10.50''
2025-26,Ben Henshall,SG,-%,8,8,6' 5.50'',,8' 3.50'',193.4,6' 6.50''
2025-26,Kasparas Jakucionis,PG-SG,-%,8.5,9.75,6' 4.75'',,8' 3.50'',205.2,6' 7.75''
2025-26,Sion James,SG,-%,8.25,9.25,6' 4.50'',,8' 4.00'',217.6,6' 6.50''
2025-26,Tre Johnson,PG-SG,-%,8.5,8,6' 4.75'',,8' 5.00'',190.4,6' 10.25''
2025-26,Kam Jones,PG,-%,8.25,8.5,6' 3.25'',,8' 4.50'',202.4,6' 6.00''
